neighborhood,month_name,month,curr.total.crimes,year,change.total.rel.last.month,direction.change.rel.last.month,abs.change.total,prev.total.crimes,curr_month_name,curr_month,curr_aggravated_assault,curr_arson,curr_assault,curr_auto_theft,curr_battery,curr_burglary,curr_conservation,curr_disorderly_conduct,curr_disturbance_of_the_peace,curr_embezzlement,curr_forgery,curr_fraud,curr_fugitive_from_justice,curr_grand_theft,curr_homicide,curr_impounded_vehicle,curr_incident_report_filed,curr_larceny,curr_narcotics,curr_obstruction_of_justice,curr_parole_probation_court_order_violations,curr_registration_as_a_sex_offender,curr_release_from_arrest,curr_resisting_arrest,curr_robbery,curr_sexual_offense,curr_stolen_property,curr_stolen_vehicle,curr_theft,curr_traffic_violations_dui_reckless_driving_accidents,curr_trespassing,curr_vandalism_graffiti,curr_vehicle_tampering,curr_vehicle_towed_stored,curr_violation_of_a_sacramento_city_code,curr_weapons_offense,curr_penal_code_infraction,curr_unauthorized_fireworks,curr_violation_of_a_city_ordinance,curr_failure_to_register_as_a_sex_offender,curr_kidnapping,curr_fare_evasion,curr_general_health_and_safety_violation,curr_violation_of_a_public_ordinance,curr_bait_car,curr_compensation_theft,curr_drunk_in_public,curr_unauthorized_fire,prev_month_name,prev_month,prev_aggravated_assault,prev_arson,prev_assault,prev_auto_theft,prev_battery,prev_burglary,prev_conservation,prev_disorderly_conduct,prev_disturbance_of_the_peace,prev_embezzlement,prev_forgery,prev_fraud,prev_fugitive_from_justice,prev_grand_theft,prev_homicide,prev_impounded_vehicle,prev_incident_report_filed,prev_larceny,prev_narcotics,prev_obstruction_of_justice,prev_parole_probation_court_order_violations,prev_registration_as_a_sex_offender,prev_release_from_arrest,prev_resisting_arrest,prev_robbery,prev_sexual_offense,prev_stolen_property,prev_stolen_vehicle,prev_theft,prev_traffic_violations_dui_reckless_driving_accidents,prev_trespassing,prev_vandalism_graffiti,prev_vehicle_tampering,prev_vehicle_towed_stored,prev_violation_of_a_sacramento_city_code,prev_weapons_offense,prev_penal_code_infraction,prev_unauthorized_fireworks,prev_violation_of_a_city_ordinance,prev_failure_to_register_as_a_sex_offender,prev_kidnapping,prev_fare_evasion,prev_general_health_and_safety_violation,prev_violation_of_a_public_ordinance,prev_bait_car,prev_compensation_theft,prev_drunk_in_public,prev_unauthorized_fire,no_crime_flag
Pocket,June,6,36,2022,-23,down,23,59,June,6,0,1,0,1,2,10,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,12,0,0,2,0,0,0,1,0,0,12,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point West,June,6,23,2022,-5,down,5,28,June,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,3,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Ridge,June,6,7,2022,5,up,5,2,June,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raley Industrial Park,June,6,23,2022,6,up,6,17,June,6,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,3,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramona Village,June,6,12,2022,-2,down,2,14,June,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regency Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Richardson Village,June,6,6,2022,-2,down,2,8,June,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond Grove,June,6,13,2022,4,up,4,9,June,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Gardens,June,6,18,2022,1,up,1,17,June,6,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
River Park,June,6,7,2022,-6,down,6,13,June,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robla,June,6,25,2022,-7,down,7,32,June,6,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,3,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,2,0,7,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RP - Sports Complex,June,6,28,2022,-6,down,6,34,June,6,2,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,1,2,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Sierra Oaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
South City Farms,June,6,1,2022,-5,down,5,6,June,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Hagginwood,June,6,39,2022,6,up,6,33,June,6,5,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,1,2,1,3,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,May,5,2,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,1,0,2,0,0,3,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
South Land Park,June,6,49,2022,10,up,10,39,June,6,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,12,3,0,0,0,0,0,2,0,0,7,1,6,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,May,5,0,1,0,0,3,7,0,0,0,0,1,0,0,0,0,0,1,11,1,0,0,0,0,0,1,0,0,2,2,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
South Natomas,June,6,106,2022,-16,down,16,122,June,6,3,0,1,1,4,14,0,0,0,0,0,1,0,0,0,0,0,17,6,3,1,0,0,0,3,0,1,17,0,13,0,12,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,May,5,4,2,1,2,1,14,0,0,0,0,0,2,0,0,0,0,0,21,4,1,1,0,0,0,3,0,3,22,1,16,0,11,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
South Oak Park,June,6,21,2022,-5,down,5,26,June,6,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1,2,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,1,3,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Southeast Village,June,6,5,2022,-3,down,3,8,June,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Pacific / Richards,June,6,35,2022,-5,down,5,40,June,6,3,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,2,4,1,1,0,0,0,3,0,0,2,0,3,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,May,5,5,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,1,0,1,5,0,1,0,8,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Southside Park,June,6,20,2022,0,no change,0,20,June,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry Manor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Sundance Lake,June,6,12,2022,-8,down,8,20,June,6,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,3,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston Estates,June,6,12,2022,1,up,1,11,June,6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahoe Park,June,6,24,2022,14,up,14,10,June,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahoe Park East,June,6,19,2022,1,up,1,18,June,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahoe Park South,June,6,7,2022,2,up,2,5,June,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tallac Village,June,6,4,2022,2,up,2,2,June,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Land Park,June,6,56,2022,5,up,5,51,June,6,4,0,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0,0,5,2,8,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,4,2,3,0,1,0,0,0,1,0,0,0,0,1,5,2,1,0,0,1,0,2,0,0,1,0,10,0,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Valley Hi / North Laguna,June,6,136,2022,-30,down,30,166,June,6,5,2,0,1,7,16,0,0,1,0,0,11,0,0,0,0,0,23,4,1,1,0,0,0,5,0,0,9,8,21,2,9,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,May,5,6,0,0,1,5,10,0,0,0,0,0,11,0,0,0,0,0,37,8,3,1,0,0,0,7,0,0,28,5,23,1,5,0,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Valleyview Acres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Village 12,June,6,4,2022,2,up,2,2,June,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Village 5,June,6,6,2022,-4,down,4,10,June,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Village Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
West Del Paso Heights,June,6,18,2022,7,up,7,11,June,6,2,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West Tahoe Park,June,6,5,2022,0,no change,0,5,June,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Westlake,June,6,3,2022,-4,down,4,7,June,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willowcreek,June,6,29,2022,-1,down,1,30,June,6,1,0,0,1,0,10,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wills Acres,June,6,6,2022,-4,down,4,10,June,6,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodbine,June,6,25,2022,4,up,4,21,June,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodlake,June,6,4,2022,-2,down,2,6,June,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youngs Heights,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Z'berg Park,June,6,8,2022,3,up,3,5,June,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
city-wide,June,6,2832,2022,-381,down,381,3213,June,6,131,24,12,51,125,378,2,1,12,2,4,65,0,1,1,0,2,489,130,25,34,5,1,1,90,0,23,264,49,417,11,293,2,14,30,137,0,0,2,0,0,0,0,0,1,1,1,1,May,5,127,25,6,79,134,377,1,4,6,0,12,87,0,0,2,0,10,552,159,31,37,5,2,0,102,1,15,311,23,527,24,288,2,110,37,116,0,0,0,0,0,0,1,0,0,0,0,0,
