neighborhood,month_name,month,curr.total.crimes,year,change.total.rel.last.month,direction.change.rel.last.month,abs.change.total,prev.total.crimes,curr_month_name,curr_month,curr_city_ordinance_or_code_violations,curr_disorderly_conduct_drunk_in_public_disturbing_the_peace,curr_environmental_crimes,curr_financial_crimes,curr_forgery_and_counterfeiting,curr_fugitive_from_justice,curr_incident_report_filed,curr_judiciary_violations,curr_narcotics_crimes,curr_obstruction_of_justice,curr_property_crimes,curr_releases_from_arrest,curr_resisting_arrest,curr_sex_crimes,curr_sex_offender_registrations,curr_towed_vehicles,curr_traffic_violations_dui_reckless_driving_accidents,curr_trespassing,curr_vehicle_tampering,curr_violent_crimes,curr_weapon_related_crimes,curr_minor_infractions,curr_unauthorized_fire_fireworks,curr_general_health_and_safety_violation,curr_unknown,prev_month_name,prev_month,prev_city_ordinance_or_code_violations,prev_disorderly_conduct_drunk_in_public_disturbing_the_peace,prev_environmental_crimes,prev_financial_crimes,prev_forgery_and_counterfeiting,prev_fugitive_from_justice,prev_incident_report_filed,prev_judiciary_violations,prev_narcotics_crimes,prev_obstruction_of_justice,prev_property_crimes,prev_releases_from_arrest,prev_resisting_arrest,prev_sex_crimes,prev_sex_offender_registrations,prev_towed_vehicles,prev_traffic_violations_dui_reckless_driving_accidents,prev_trespassing,prev_vehicle_tampering,prev_violent_crimes,prev_weapon_related_crimes,prev_minor_infractions,prev_unauthorized_fire_fireworks,prev_general_health_and_safety_violation,prev_unknown,no_crime_flag
Metro Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Midtown / Winn Park / Capital Avenue,June,6,103,2022,1,up,1,102,June,6,3,1,0,0,2,0,0,1,4,0,58,0,0,0,0,1,11,2,0,17,3,0,0,0,0,May,5,3,1,0,0,0,0,0,0,4,1,50,0,0,0,0,3,22,0,0,16,2,0,0,0,0,0
Morrison Creek,June,6,7,2022,-2,down,2,9,June,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Natomas Corporate Center,June,6,1,2022,0,no change,0,1,June,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Natomas Creek,June,6,1,2022,-1,down,1,2,June,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natomas Crossing,June,6,42,2022,6,up,6,36,June,6,0,0,0,0,0,0,0,1,2,0,34,0,0,0,0,0,3,0,0,2,0,0,0,0,0,May,5,0,0,0,0,2,0,0,0,4,0,27,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Natomas Park,June,6,26,2022,7,up,7,19,June,6,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,3,0,0,1,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
New Brighton,June,6,3,2022,2,up,2,1,June,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New Era Park,June,6,10,2022,-6,down,6,16,June,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Newton Booth,June,6,52,2022,13,up,13,39,June,6,2,0,0,0,0,0,0,0,2,2,35,0,0,0,0,1,2,0,0,7,1,0,0,0,0,May,5,0,0,0,0,1,0,0,0,2,2,24,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0
Noralto,June,6,24,2022,5,up,5,19,June,6,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,3,0,0,9,2,0,0,0,0,May,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,7,0,0,2,2,0,0,0,0,0
North City Farms,June,6,19,2022,0,no change,0,19,June,6,0,0,1,0,1,0,0,0,2,0,7,0,0,0,1,0,3,0,0,2,2,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0
North Oak Park,June,6,24,2022,-4,down,4,28,June,6,0,0,0,0,1,0,0,1,2,0,16,0,0,0,0,0,1,0,0,3,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,2,0,19,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0
Northgate,June,6,6,2022,-11,down,11,17,June,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,May,5,0,0,0,0,2,0,0,0,2,0,9,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
Northpointe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Norwood I-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Norwood Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Oak Knoll,June,6,5,2022,-2,down,2,7,June,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Old North Sacramento,June,6,68,2022,-9,down,9,77,June,6,0,0,0,0,2,0,0,3,3,2,31,0,0,0,0,0,9,0,0,11,7,0,0,0,0,May,5,0,0,0,0,1,0,0,2,7,2,31,0,0,0,0,3,11,1,0,14,5,0,0,0,0,0
Old Sacramento,June,6,30,2022,-2,down,2,32,June,6,0,2,0,0,1,0,0,1,1,1,15,0,0,0,1,0,0,0,0,6,2,0,0,0,0,May,5,3,1,0,0,0,0,0,0,2,2,8,0,0,0,0,0,4,2,0,9,1,0,0,0,0,0
Parker Homes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Parkway,June,6,100,2022,-4,down,4,104,June,6,2,0,0,1,4,0,0,2,5,1,50,0,0,0,0,0,19,0,0,8,8,0,0,0,0,May,5,1,0,0,0,5,0,0,1,3,0,49,0,0,0,0,4,19,1,0,17,4,0,0,0,0,0
Pell/Main Industrial Park,June,6,6,2022,-1,down,1,7,June,6,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Pocket,June,6,36,2022,-23,down,23,59,June,6,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,1,0,0,3,0,0,0,0,0,May,5,0,0,0,0,5,0,0,2,0,0,38,0,0,0,0,3,9,0,0,2,0,0,0,0,0,0
Point West,June,6,23,2022,-5,down,5,28,June,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,3,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0
Power Ridge,June,6,7,2022,5,up,5,2,June,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raley Industrial Park,June,6,23,2022,6,up,6,17,June,6,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,4,0,0,3,2,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0
Ramona Village,June,6,12,2022,-2,down,2,14,June,6,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0
Regency Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Richardson Village,June,6,6,2022,-2,down,2,8,June,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
Richmond Grove,June,6,13,2022,4,up,4,9,June,6,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1,0,0,0,0,May,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
River Gardens,June,6,18,2022,1,up,1,17,June,6,0,0,0,0,2,0,0,2,1,0,6,0,0,0,0,0,0,0,0,5,2,0,0,0,0,May,5,1,0,0,0,1,0,0,0,1,1,9,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
River Park,June,6,7,2022,-6,down,6,13,June,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Robla,June,6,25,2022,-7,down,7,32,June,6,0,0,0,0,0,0,0,0,1,1,18,0,0,0,0,0,3,0,0,1,1,0,0,0,0,May,5,1,0,0,0,3,0,1,1,0,0,11,0,0,0,0,0,7,0,0,6,2,0,0,0,0,0
RP - Sports Complex,June,6,28,2022,-6,down,6,34,June,6,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,1,0,5,0,0,0,0,0,May,5,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
SCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Sierra Oaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
South City Farms,June,6,1,2022,-5,down,5,6,June,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,May,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
South Hagginwood,June,6,39,2022,6,up,6,33,June,6,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,1,3,0,0,9,6,0,0,0,0,May,5,0,0,0,0,1,0,0,0,4,0,11,1,0,0,0,2,7,0,0,5,2,0,0,0,0,0
South Land Park,June,6,49,2022,10,up,10,39,June,6,1,2,0,0,1,0,0,0,3,0,30,0,0,0,0,0,6,0,0,4,2,0,0,0,0,May,5,1,0,0,0,1,0,1,0,1,0,24,0,0,0,0,0,6,0,0,4,1,0,0,0,0,0
South Natomas,June,6,106,2022,-16,down,16,122,June,6,1,0,0,0,1,0,0,1,6,3,62,0,0,0,0,0,13,0,0,11,8,0,0,0,0,May,5,2,0,0,0,2,0,0,1,4,1,76,0,0,0,0,3,16,0,0,9,8,0,0,0,0,0
South Oak Park,June,6,21,2022,-5,down,5,26,June,6,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,3,2,0,1,4,1,0,0,0,0,May,5,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,4,3,0,0,5,2,0,0,0,0,0
Southeast Village,June,6,5,2022,-3,down,3,8,June,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,May,5,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Southern Pacific / Richards,June,6,35,2022,-5,down,5,40,June,6,2,0,0,0,1,0,0,1,4,1,13,0,0,0,0,0,3,0,0,8,2,0,0,0,0,May,5,2,1,0,0,1,0,0,0,4,0,19,0,0,0,1,2,1,0,0,8,0,0,0,1,0,0
Southside Park,June,6,20,2022,0,no change,0,20,June,6,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,1,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0
Strawberry Manor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Sundance Lake,June,6,12,2022,-8,down,8,20,June,6,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,May,5,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
Swanston Estates,June,6,12,2022,1,up,1,11,June,6,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,May,5,0,0,0,0,2,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tahoe Park,June,6,24,2022,14,up,14,10,June,6,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,2,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0
Tahoe Park East,June,6,19,2022,1,up,1,18,June,6,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,2,0,0,2,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Tahoe Park South,June,6,7,2022,2,up,2,5,June,6,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Tallac Village,June,6,4,2022,2,up,2,2,June,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Land Park,June,6,56,2022,5,up,5,51,June,6,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,1,8,0,0,7,4,0,0,0,0,May,5,0,1,0,0,1,0,1,0,2,1,27,1,0,0,0,1,10,0,0,4,2,0,0,0,0,0
Valley Hi / North Laguna,June,6,136,2022,-30,down,30,166,June,6,2,1,0,0,11,0,0,1,4,1,68,0,0,0,0,1,21,2,0,17,7,0,0,0,0,May,5,2,0,0,0,11,0,0,1,8,3,86,0,0,0,0,3,23,1,0,18,10,0,0,0,0,0
Valleyview Acres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Village 12,June,6,4,2022,2,up,2,2,June,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Village 14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Village 5,June,6,6,2022,-4,down,4,10,June,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Village 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Village Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
West Del Paso Heights,June,6,18,2022,7,up,7,11,June,6,0,0,0,0,2,0,0,0,3,0,10,0,0,0,0,0,0,0,0,2,1,0,0,0,0,May,5,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
West Tahoe Park,June,6,5,2022,0,no change,0,5,June,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Westlake,June,6,3,2022,-4,down,4,7,June,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Willowcreek,June,6,29,2022,-1,down,1,30,June,6,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,1,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Wills Acres,June,6,6,2022,-4,down,4,10,June,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Woodbine,June,6,25,2022,4,up,4,21,June,6,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,4,0,0,4,2,0,0,0,0,May,5,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,7,0,0,4,2,0,0,0,0,0
Woodlake,June,6,4,2022,-2,down,2,6,June,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,May,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youngs Heights,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Z'berg Park,June,6,8,2022,3,up,3,5,June,6,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0
city-wide,June,6,2832,2022,-381,down,381,3213,June,6,32,14,2,3,69,0,2,34,130,25,1572,1,1,0,5,14,417,11,2,359,137,0,1,0,1,May,5,37,10,1,0,99,0,10,37,159,31,1670,2,0,1,5,110,527,24,2,371,116,0,0,1,0,
